	artist_names	track_name	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_secs
0	サザンオールスターズ	TSUNAMI	0.491	0.689	2	-4.476	1	0.0247	0.285	0.000505	0.279	0.548	90.509	315
1	PornoGraffitti	サウダージ	0.612	0.978	4	-3.292	0	0.0541	0.134	0.0	0.382	0.648	120.043	260
2	Mai Kuraki	Love, Day After Tomorrow	0.68	0.83	1	-4.726	1	0.133	0.0564	0.0	0.0603	0.713	96.948	246
3	B'z	今夜月の見える丘に	0.473	0.868	4	-3.462	0	0.0307	0.000451	0.00211	0.188	0.286	88.978	248
4	Ayumi Hamasaki	SEASONS	0.507	0.641	3	-4.934	1	0.0306	0.39	0.0	0.134	0.203	164.016	261
5	Hikaru Utada	Wait & See ～リスク～	0.64	0.852	1	-4.005	1	0.032	0.0601	0.0	0.0959	0.678	112.005	288
6	Masaharu Fukuyama	桜坂	0.768	0.413	7	-10.017	1	0.0262	0.199	1.83e-05	0.123	0.459	104.001	297
7	Mai Kuraki	Secret of my heart	0.564	0.876	1	-4.136	1	0.0437	0.0902	0.0	0.118	0.931	170.051	267
8	Yuki Koyanagi	あなたのキスを数えましょう 〜You were mine〜 - Single Version	0.564	0.481	9	-5.536	1	0.0277	0.237	0.0	0.157	0.308	125.943	343
9	MISIA	Everything	0.527	0.531	1	-7.371	1	0.0334	0.504	0.0	0.109	0.3	131.892	420
10	CHEMISTRY	PIECES OF A DREAM	0.74	0.862	4	-3.821	0	0.0376	0.486	0.0	0.0824	0.71	106.2	299
11	Hikaru Utada	Can You Keep A Secret?	0.713	0.882	4	-3.996	0	0.0704	0.036	0.0	0.172	0.689	104.037	308
12	PornoGraffitti	アゲハ蝶	0.725	0.992	9	-1.109	0	0.0602	0.2	1.62e-06	0.338	0.925	116.021	281
13	Every Little Thing	fragile	0.489	0.579	5	-7.156	1	0.0276	0.361	0.0	0.296	0.17	83.811	291
14	Keisuke Kuwata	波乗りジョニー	0.486	0.821	2	-7.039	1	0.0605	0.0541	0.0	0.288	0.73	138.158	267
15	Ayumi Hamasaki	M	0.545	0.867	10	-5.36	0	0.0376	0.0281	8.58e-05	0.137	0.354	102.975	267
16	BUMP OF CHICKEN	天体観測	0.359	0.957	1	-2.819	1	0.11	0.394	0.0	0.0904	0.503	165.113	264
17	B'z	ultra soul	0.593	0.967	1	-3.829	0	0.0505	0.00201	0.175	0.343	0.769	126.538	218
18	ZONE	secret base ～君がくれたもの～	0.476	0.846	6	-4.076	1	0.0407	0.343	0.0	0.141	0.483	144.746	296
19	m-flo	come again	0.711	0.9	8	-3.683	1	0.0499	0.522	0.000957	0.107	0.921	130.047	354
20	Keisuke Kuwata	白い恋人達	0.379	0.603	7	-8.046	1	0.0311	0.447	0.00011	0.164	0.374	149.105	284
21	Hikaru Utada	traveling	0.669	0.956	4	-4.086	0	0.099	0.032	0.0	0.138	0.699	116.999	314
22	MONGOL800	小さな恋のうた	0.403	0.778	11	-4.856	1	0.0395	0.00203	0.0	0.227	0.628	115.581	222
23	Chitose Hajime	ワダツミの木	0.785	0.366	1	-8.223	1	0.0407	0.0537	0.000637	0.127	0.791	134.034	355
24	Road Of Major	大切なもの	0.378	0.906	11	-5.597	1	0.0638	0.00184	1.29e-06	0.329	0.779	204.965	190
25	Hitomi Shimatani	亜麻色の髪の乙女	0.426	0.943	6	-1.64	0	0.0605	0.0238	3.96e-06	0.092	0.549	114.843	244
26	RIP SLYME	楽園ベイベー	0.773	0.931	9	-3.791	1	0.0586	0.114	5.45e-05	0.0518	0.864	113.048	287
27	Hikaru Utada	SAKURAドロップス	0.339	0.664	7	-3.526	0	0.0397	0.0513	0.0	0.329	0.0899	82.484	298
28	Kazumasa Oda	キラキラ	0.628	0.73	5	-4.198	1	0.0342	0.316	4.02e-05	0.277	0.628	124.011	285
29	Dragon Ash	Life goes on	0.821	0.7	7	-4.365	1	0.0579	0.0846	0.000178	0.129	0.499	99.008	337
30	Ayumi Hamasaki	Voyage	0.489	0.452	5	-6.594	1	0.0262	0.644	0.0	0.188	0.169	89.968	305
31	I WiSH	明日への扉	0.515	0.617	2	-5.509	1	0.0251	0.0872	0.0	0.117	0.484	89.008	293
32	Naotaro Moriyama	さくら（独唱）	0.518	0.182	8	-9.782	1	0.0333	0.95	0.0	0.139	0.37	143.722	255
33	Rimi Natsukawa	涙そうそう	0.601	0.4	5	-7.081	1	0.0242	0.537	1.07e-06	0.212	0.367	75.974	258
34	Masaharu Fukuyama	虹	0.648	0.758	2	-5.566	1	0.0342	0.212	1.09e-05	0.134	0.718	101.335	248
35	Rui	月のしずく	0.207	0.611	9	-5.984	0	0.0386	0.257	6.92e-06	0.091	0.364	70.324	287
36	175R	空に唄えば	0.518	0.976	7	-2.728	1	0.0566	9.96e-06	0.0	0.379	0.619	114.982	258
37	サザンオールスターズ	涙の海で抱かれたい~SEA OF LOVE~	0.533	0.912	2	-3.139	1	0.0304	0.0445	0.0	0.26	0.821	138.959	267
38	Yo Hitoto	もらい泣き	0.675	0.744	7	-5.769	0	0.0484	0.323	0.0	0.0886	0.702	89.944	280
39	Mika Nakashima	雪の華	0.47	0.27	11	-8.796	1	0.0292	0.775	0.0	0.133	0.141	72.042	341
40	Ai Otsuka	さくらんぼ	0.505	0.842	7	-3.52	1	0.0536	0.153	0.0	0.328	0.694	170.003	233
41	ORANGE RANGE	ロコローション	0.673	0.898	11	-3.143	1	0.113	0.0505	0.0	0.0455	0.806	139.979	196
42	Kyogo Kawaguchi	桜	0.521	0.243	1	-10.323	1	0.0269	0.764	9.66e-06	0.126	0.319	135.773	277
43	DREAMS COME TRUE	やさしいキスをして	0.52	0.61	7	-5.859	0	0.0266	0.161	0.0	0.153	0.255	83.939	224
44	Ken Hirai	瞳をとじて	0.457	0.607	3	-5.074	1	0.0297	0.597	0.0	0.103	0.394	141.67	343
45	Ko Shibasaki	かたちあるもの	0.45	0.697	9	-5.971	1	0.0314	0.595	0.0	0.225	0.349	139.81	256
46	Ayaka Hirahara	Jupiter	0.333	0.577	1	-8.064	1	0.0306	0.42	0.0	0.388	0.366	88.886	361
47	ORANGE RANGE	花	0.376	0.781	0	-4.307	1	0.0592	0.422	0.0	0.109	0.527	183.577	254
48	Mr.Children	Sign	0.594	0.538	7	-5.076	1	0.0259	0.288	0.0	0.125	0.34	104.991	321
49	Yo Hitoto	ハナミズキ	0.399	0.396	4	-6.44	1	0.0277	0.884	5.09e-06	0.169	0.307	141.309	323
50	YUZU	栄光の架橋	0.566	0.388	4	-6.763	1	0.0272	0.772	0.0	0.106	0.194	82.059	326
51	D-51	No More Cry	0.651	0.991	5	-2.619	1	0.0709	0.137	0.0	0.297	0.726	136.968	298
52	Kumi Koda	Butterfly	0.68	0.685	7	-7.123	1	0.0294	0.00588	0.371	0.087	0.736	137.967	259
53	Ketsumeishi	さくら	0.712	0.864	8	-3.414	1	0.0258	0.312	6.89e-06	0.132	0.82	120.001	319
54	B'z	OCEAN	0.463	0.651	2	-4.743	1	0.0279	0.277	0.0	0.153	0.268	80.984	324
55	Nana, Mika Nakashima	GLAMOROUS SKY	0.322	0.864	1	-2.081	0	0.0427	7.91e-05	0.625	0.167	0.52	149.916	266
56	REIRA starring Yuna Ito	ENDLESS STORY	0.426	0.466	9	-5.766	1	0.0306	0.0338	3.82e-06	0.145	0.147	119.94	304
57	Sukima Switch	全力少年	0.643	0.782	2	-4.133	1	0.026	0.245	0.0	0.329	0.755	133.966	273
58	AI	Story	0.616	0.559	0	-6.316	1	0.025	0.589	0.0	0.112	0.387	125.958	288
59	UNDER GRAPH	ツバサ	0.668	0.844	9	-3.594	0	0.0277	0.00205	0.0	0.0961	0.89	105.021	271
60	KOBUKURO	ここにしか咲かない花	0.547	0.392	6	-8.584	1	0.0238	0.693	0.0	0.105	0.334	78.43	372
61	Ai Otsuka	プラネタリウム	0.379	0.574	2	-5.739	0	0.035	0.271	6.24e-05	0.102	0.494	198.044	307
62	DREAMS COME TRUE	何度でも	0.551	0.768	4	-5.147	1	0.0386	0.213	0.0	0.253	0.35	100.037	222
63	Mihimaru GT	気分上々↑↑	0.646	0.978	5	-2.018	0	0.0973	0.22	0.0	0.316	0.874	125.024	227
64	Shonan No Kaze	純恋歌	0.293	0.71	0	-6.244	1	0.0548	0.215	0.0	0.0979	0.268	83.776	431
